Date,Traffic,PM10,NO2,O3,Traffic_interpolated,PM10_interpolated,O3_interpolated,NO2_interpolated
2008-01-31,28934.4838709677,37.19,45.06,22.37,28934.4838709677,37.19,22.37,45.06
2008-02-29,31985.7586206897,17.48,37.66,36.48,31985.7586206897,17.48,36.48,37.66
2008-03-31,31887.6774193548,,48.41,,31887.6774193548,24.611762164931623,48.995023953541136,48.41
2008-04-30,31321.8,16.1,51.44,44.25,31321.8,16.1,44.25,51.44
2008-05-31,29567.7741935484,10.44,28.83,47.78,29567.7741935484,10.44,47.78,28.83
2008-06-30,29825.7,17.65,27.94,58.44,29825.7,17.65,58.44,27.94
2008-07-31,30915.2258064516,17.12,37.08,55.89,30915.2258064516,17.12,55.89,37.08
2008-08-31,29158.1290322581,20.21,37.38,49.19,29158.1290322581,20.21,49.19,37.38
2008-09-30,31019.9666666667,26.3,43.67,46.26,31019.9666666667,26.3,46.26,43.67
2008-10-31,31196.6129032258,23.74,44.97,13.85,31196.6129032258,23.74,13.85,44.97
2008-11-30,28655.0666666667,28.71,50.97,22.59,28655.0666666667,28.71,22.59,50.97
2008-12-31,27820.4516129032,48.81,62.87,2.6,27820.4516129032,48.81,2.6,62.87
2009-01-31,28317.5161290323,45.4,33.23,22.24,28317.5161290323,45.4,22.24,33.23
2009-02-28,29891.5357142857,,69.02,33.23,29891.5357142857,26.316659824347447,33.23,69.02
2009-03-31,31188.4838709677,32.65,39.11,,31188.4838709677,32.65,49.525095806225245,39.11
2009-04-30,31382.4333333333,15.92,,41.45,31382.4333333333,15.92,41.45,40.971203802587866
2009-05-31,30111.4516129032,16.53,19.26,66.86,30111.4516129032,16.53,66.86,19.26
2009-06-30,30643.4333333333,27.0,40.49,60.89,30643.4333333333,27.0,60.89,40.49
2009-07-31,31995.1935483871,21.98,33.94,51.4,31995.1935483871,21.98,51.4,33.94
2009-08-31,29866.0322580645,24.09,48.25,41.67,29866.0322580645,24.09,41.67,48.25
2009-09-30,32229.1,32.36,60.92,27.73,32229.1,32.36,27.73,60.92
2009-10-31,32358.1935483871,54.03,44.75,10.52,32358.1935483871,54.03,10.52,44.75
2009-11-30,30574.0333333333,15.99,72.68,15.9,30574.0333333333,15.99,15.9,72.68
2009-12-31,29562.3548387097,17.8,54.19,19.67,29562.3548387097,17.8,19.67,54.19
2010-01-31,28414.35483870968,16.68,46.38,37.97,28414.35483870968,16.68,37.97,46.38
2010-02-28,31089.53571428571,8.74,25.69,51.22,31089.53571428571,8.74,51.22,25.69
2010-03-31,32874.83870967742,5.96,35.4,53.93,32874.83870967742,5.96,53.93,35.4
2010-04-30,32417.2,24.0,39.44,83.38,32417.2,24.0,83.38,39.44
2010-05-31,30887.22580645161,8.72,26.33,57.7,30887.22580645161,8.72,57.7,26.33
2010-06-30,31223.5,29.39,38.33,94.85,31223.5,29.39,94.85,38.33
2010-07-31,32507.16129032258,13.13,22.52,49.75,32507.16129032258,13.13,49.75,22.52
2010-08-31,31173.77419354839,8.32,19.85,51.04,31173.77419354839,8.32,51.04,19.85
2010-09-30,33040.76666666667,23.81,39.72,20.53,33040.76666666667,23.81,20.53,39.72
2010-10-31,32684.22580645161,25.26,,,32684.22580645161,25.26,9.06686671737819,48.636423399210294
2010-11-30,30717.4,28.67,80.48,8.8,30717.4,28.67,8.8,80.48
2010-12-31,28807.8064516129,20.4,39.75,14.57,28807.8064516129,20.4,14.57,39.75
2011-01-31,30017.74193548387,,,,30017.74193548387,22.887712465019796,28.620367682696234,43.6856143212432
2011-02-28,32676.32142857143,,,,32676.32142857143,24.47075887892342,39.82436511145746,43.82320783796348
2011-03-31,33446.6129032258,,,,33446.6129032258,21.550854024907945,50.581720402409786,44.174235844270214
2011-04-30,32367.66666666667,,,,32367.66666666667,16.57756148606015,51.98050217748589,37.91905069135265
2011-05-31,31567.1935483871,,,,31567.1935483871,16.4911580580292,61.19014967194782,30.257544508897183
2011-06-30,31923.83333333333,,,,31923.83333333333,20.229826814317736,58.27229844457304,34.81229787485053
2011-07-31,32698.22580645161,,,,32698.22580645161,19.154708353274557,55.76310839268245,33.30405579724755
2011-08-31,31107.54838709677,,,,31107.54838709677,16.3427713264659,43.80096871468031,33.515084196318284
2011-09-30,33770.26666666667,,,,33770.26666666667,22.26641615643767,30.240881717032725,41.284114205884464
2011-10-31,33637.35483870967,,,,33637.35483870967,26.85432088208419,9.832673559318621,47.13881426256729
2011-11-30,32250.5,,,,32250.5,22.57536542856095,15.73479822658864,52.197249986374636
2011-12-31,31103.74193548387,,,,31103.74193548387,21.481792801232643,18.376056210793678,45.33332934551034
2012-01-31,30893.61290322581,28.45,35.84,14.72,30893.61290322581,28.45,14.72,35.84
2012-02-29,32813.44827586207,37.43,65.54,,32813.44827586207,37.43,40.81790211082547,65.54
2012-03-31,35090.93548387097,16.53,39.52,46.21,35090.93548387097,16.53,46.21,39.52
2012-04-30,32219.06666666667,13.32,31.61,63.05,32219.06666666667,13.32,63.05,31.61
2012-05-31,33016.12903225807,11.13,32.2,69.16,33016.12903225807,11.13,69.16,32.2
2012-06-30,33476.4,32.78,30.83,72.86,33476.4,32.78,72.86,30.83
2012-07-31,33684.70967741936,13.11,33.26,51.77,33684.70967741936,13.11,51.77,33.26
2012-08-31,32566.29032258064,6.88,33.18,36.83,32566.29032258064,6.88,36.83,33.18
2012-09-30,34096.23333333333,15.93,15.97,29.88,34096.23333333333,15.93,29.88,15.97
2012-10-31,34033.83870967742,28.55,,6.27,34033.83870967742,28.55,6.27,45.6163508557312
2012-11-30,31922.46666666667,12.52,26.34,19.68,31922.46666666667,12.52,19.68,26.34
2012-12-31,29972.61290322581,16.81,55.85,21.7,29972.61290322581,16.81,21.7,55.85
2013-01-31,,,,,30444.18125690128,20.770080310354174,30.01872159359744,40.723291100703634
2013-02-28,,,,,33820.3500354845,22.689744413795616,41.2795155123297,40.561165246716016
2013-03-31,33885.67741935484,,,,33885.67741935484,19.96409611437896,51.90131784542524,41.02756551953251
2013-04-30,33457.93333333333,,,,33457.93333333333,14.640217136574645,53.268676426086344,34.9620783274421
2013-05-31,33041.16129032258,,,,33041.16129032258,14.289799586126744,62.723738965438685,27.212238018236338
2013-06-30,33861.36666666667,,,,33861.36666666667,18.62887428814608,58.92317163519175,31.85279983742338
2013-07-31,,,,,35335.56410056634,17.615067420454974,56.78260794822256,30.43169668743538
2013-08-31,,,,,34018.59275427689,14.579341289294248,44.73129072439446,30.554826771064775
2013-09-30,34677.5,,,,34677.5,20.22053132470424,31.693635970654846,38.22178062939827
2013-10-31,35136.93548387097,,,,35136.93548387097,25.067533262673816,10.685532586573945,44.122821473805814
2013-11-30,33366.4,,,,33366.4,20.752029190930866,16.94824733420269,49.2297823554298
2013-12-31,32032.38709677419,22.74,56.9,,32032.38709677419,22.74,19.51057499346178,56.9
2014-01-31,31927.41935483871,44.0,80.1,5.82,31927.41935483871,44.0,5.82,80.1
2014-02-28,34178.39285714286,7.77,35.03,50.43,34178.39285714286,7.77,50.43,35.03
2014-03-31,35793.29032258064,28.67,54.27,,35793.29032258064,28.67,52.43020011448495,54.27
2014-04-30,34374.23333333333,5.76,39.19,37.35,34374.23333333333,5.76,37.35,39.19
2014-05-31,34688.41935483871,12.22,19.66,54.85,34688.41935483871,12.22,54.85,19.66
2014-06-30,35111.53333333333,7.52,28.24,50.11,35111.53333333333,7.52,50.11,28.24
2014-07-31,35257.1935483871,15.97,23.73,60.29,35257.1935483871,15.97,60.29,23.73
2014-08-31,33680.58064516129,9.1,19.41,33.92,33680.58064516129,9.1,33.92,19.41
2014-09-30,36615.86666666667,23.67,41.51,15.46,36615.86666666667,23.67,15.46,41.51
2014-10-31,37701.74193548387,29.76,54.4,6.77,37701.74193548387,29.76,6.77,54.4
2014-11-30,36534.4,11.99,,1.36,36534.4,11.99,1.36,47.71134722152487
2014-12-31,34438.87096774193,19.2,29.7,32.53,34438.87096774193,19.2,32.53,29.7
2015-01-31,33592.1290322581,,,,33592.1290322581,19.262252739668863,30.996748319177392,37.67648888415329
2015-02-28,36629.9642857143,,,,36629.9642857143,20.84540206781168,42.20078110464186,37.81408240436862
2015-03-31,38206.2903225806,,,,38206.2903225806,17.925611154560848,52.958175540511625,38.165110414547875
2015-04-30,36720.4666666667,,,,36720.4666666667,12.95242888097168,54.356995197767816,31.909925265376366
2015-05-31,37429.8709677419,,,,37429.8709677419,12.866139393707392,63.5666818371478,24.24841908679209
2015-06-30,,,,,37321.7412879344,16.604918415250008,60.64886849195687,28.803172456491403
2015-07-31,,,,,37351.23160404731,15.529913894971763,58.13971758498538,27.294930382759116
2015-08-31,,,,,36110.281086598334,12.718090808929439,46.177617051904214,27.505958785700244
2015-09-30,,,,,38520.979783435905,18.64184590415986,32.61756793643422,35.2749887990131
2015-10-31,,,,,38220.68666807587,23.229864570570616,12.209398923642137,41.12968885956691
2015-11-30,,,,,36860.86998780068,18.95101938230522,18.111561473091314,46.18812458712013
2015-12-31,36056.2580645161,,,,36056.2580645161,17.857560695739902,20.752858602217042,39.32420395012571
2016-01-31,34686.7096774194,0.9,10.19,59.64,34686.7096774194,0.9,59.64,10.19
2016-02-29,37452.3103448276,24.26,31.38,28.95,37452.3103448276,24.26,28.95,31.38
2016-03-31,39003.1290322581,21.32,45.3,34.37,39003.1290322581,21.32,34.37,45.3
2016-04-30,,12.23,31.81,49.56,38363.35608382929,12.23,49.56,31.81
2016-05-31,38573.3666666667,2.91,21.94,68.03,38573.3666666667,2.91,68.03,21.94
2016-06-30,38116.3548387097,13.4,36.16,36.09,38116.3548387097,13.4,36.09,36.16
2016-07-31,,9.73,17.49,66.35,39421.388156394845,9.73,66.35,17.49
2016-08-31,,17.11,31.39,46.14,38100.78227772099,17.11,46.14,31.39
2016-09-30,,14.35,42.32,51.55,39633.69124895229,14.35,51.55,42.32
2016-10-31,40561.2666666667,22.36,29.18,6.95,40561.2666666667,22.36,6.95,29.18
2016-11-30,39493.8064516129,34.13,,3.19,39493.8064516129,34.13,3.19,44.734240913703
2016-12-31,38189.7333333333,25.28,35.9,6.03,38189.7333333333,25.28,6.03,35.9
2017-01-31,34473.5161290323,6.6,37.4,35.27,34473.5161290323,6.6,35.27,37.4
2017-01-31,36997.0,6.6,37.4,35.27,36997.0,6.6,35.27,37.4
2017-02-28,39033.6071428571,1.8,28.11,60.6,39033.6071428571,1.8,60.6,28.11
2017-03-31,40485.4838709677,16.29,51.34,47.47,40485.4838709677,16.29,47.47,51.34
2017-04-30,,11.45,35.68,46.19,38004.87387033288,11.45,46.19,35.68
2017-05-31,38529.3,15.4,18.89,73.26,38529.3,15.4,73.26,18.89
2017-06-30,38987.6129032258,8.18,19.96,47.07,38987.6129032258,8.18,47.07,19.96
2017-07-31,39777.7333333333,18.56,28.61,38.53,39777.7333333333,18.56,38.53,28.61
2017-08-31,39422.0,8.89,33.66,35.67,39422.0,8.89,35.67,33.66
2017-09-30,38310.5161290323,13.42,30.56,40.63,38310.5161290323,13.42,40.63,30.56
2017-10-31,40987.0,18.88,55.49,15.9,40987.0,18.88,15.9,55.49
2017-11-30,40382.2258064516,8.13,35.92,32.74,40382.2258064516,8.13,32.74,35.92
2017-12-31,38995.2666666667,4.64,20.6,45.05,38995.2666666667,4.64,45.05,20.6
2018-01-31,35827.935483871,15.7,28.48,30.82,35827.935483871,15.7,30.82,28.48
2018-01-31,36772.1935483871,15.7,28.48,30.82,36772.1935483871,15.7,30.82,28.48
2018-02-28,39143.9285714286,41.83,41.45,34.69,39143.9285714286,41.83,34.69,41.45
2018-03-31,40755.1290322581,4.61,29.46,61.01,40755.1290322581,4.61,61.01,29.46
2018-04-30,39675.7,6.89,17.55,82.73,39675.7,6.89,82.73,17.55
2018-05-31,39139.064516129,10.74,23.81,55.85,39139.064516129,10.74,55.85,23.81
2018-06-30,39038.7666666667,15.78,30.94,73.37,39038.7666666667,15.78,73.37,30.94
2018-07-31,38704.7419354839,17.79,29.68,75.57,38704.7419354839,17.79,75.57,29.68
2018-08-31,38252.4516129032,15.06,,43.36,38252.4516129032,15.06,43.36,36.61817245075868
2018-09-30,40414.4333333333,20.06,20.51,55.19,40414.4333333333,20.06,55.19,20.51
2018-10-31,40706.7096774194,17.43,49.12,7.32,40706.7096774194,17.43,7.32,49.12
2018-11-30,39154.6666666667,23.36,69.84,5.89,39154.6666666667,23.36,5.89,69.84
2018-12-31,36530.7096774194,16.9,30.2,15.14,36530.7096774194,16.9,15.14,30.2
2019-01-31,36142.1935483871,,,34.45,36142.1935483871,14.30406795035059,34.45,32.15598483451255
2019-02-28,39830.75,,,56.94,39830.75,9.330885754397533,56.94,25.900799669415605
2019-03-31,40322.064516129,,,65.59,40322.064516129,9.244596347357605,65.59,18.239293474373873
2019-04-30,38627.4,,,,38627.4,12.98337544654235,63.026941111519555,22.794046828148595
2019-05-31,38678.0322580645,,,,38678.0322580645,11.908371006490194,60.51779041297107,21.28580473795857
2019-06-30,39484.4,,,,39484.4,9.096548000673302,48.555690088309014,21.49683312444376
2019-07-31,39897.2903225806,,,,39897.2903225806,15.020303173541407,34.99564117453566,29.26586312183079
2019-08-31,38435.3870967742,,,,38435.3870967742,19.60832192017871,14.587472370163049,35.120563165926605
2019-09-30,40213.4666666667,,,,40213.4666666667,15.329476809551505,20.48963512130953,40.17899887755408
2019-10-31,,,,3.06,36205.4423413776,14.236018203213616,3.06,33.31507822410346
2019-11-30,,,,26.78,35807.367366179846,14.890493644530798,26.78,30.150482521882868
2019-12-31,,,,3.2,38464.2252291405,16.36132393350969,3.2,29.918062310250964
2020-01-31,,6.62,34.89,30.14,39739.37052714357,6.62,30.14,34.89
2020-02-29,,23.07,26.78,49.53,38767.94843381487,23.07,49.53,26.78
2020-03-31,,11.61,15.78,64.96,36726.159549084754,11.61,64.96,15.78
2020-04-30,,4.61,17.21,53.46,37958.02392681091,4.61,53.46,17.21
2020-05-31,30572.0,10.23,11.06,74.64,30572.0,10.23,74.64,11.06
2020-06-30,36657.9666666667,8.18,23.78,48.09,36657.9666666667,8.18,48.09,23.78
2020-07-31,40088.2580645161,23.53,38.34,73.88,40088.2580645161,23.53,73.88,38.34
2020-08-31,,6.0,18.45,37.17,39574.284618917096,6.0,37.17,18.45
2020-09-30,40351.6666666667,14.06,27.72,12.36,40351.6666666667,14.06,12.36,27.72
2020-10-31,37798.9677419355,14.29,24.48,6.14,37798.9677419355,14.29,6.14,24.48
2020-11-30,32583.4333333333,19.63,25.52,14.13,32583.4333333333,19.63,14.13,25.52
2020-12-31,32085.8709677419,15.72,29.83,26.95,32085.8709677419,15.72,26.95,29.83
2021-01-31,29526.4193548387,6.15,23.52,36.09,29526.4193548387,6.15,36.09,23.52
2021-02-28,31851.9642857143,18.56,18.82,36.33,31851.9642857143,18.56,36.33,18.82
2021-03-31,35632.8064516129,18.67,41.84,51.73,35632.8064516129,18.67,51.73,41.84
2021-04-30,37149.5666666667,9.69,27.16,41.3,37149.5666666667,9.69,41.3,27.16
2021-05-31,37605.6774193548,13.53,23.95,72.06,37605.6774193548,13.53,72.06,23.95
2021-06-30,39647.1666666667,5.43,15.03,61.83,39647.1666666667,5.43,61.83,15.03
2021-07-31,41155.4838709677,9.54,15.0,39.88,41155.4838709677,9.54,39.88,15.0
2021-08-31,40618.3548387097,10.19,14.55,55.54,40618.3548387097,10.19,55.54,14.55
2021-09-30,42875.5666666667,7.46,28.52,41.01,42875.5666666667,7.46,41.01,28.52
2021-10-31,42368.6129032258,10.49,28.71,16.55,42368.6129032258,10.49,16.55,28.71
2021-11-30,39548.9,10.6,20.54,45.21,39548.9,10.6,45.21,20.54
2021-12-31,37004.8387096774,7.9,35.73,,37004.8387096774,7.9,46.49627091934381,35.73
2022-01-31,36001.935483871,9.85,20.82,52.22,36001.935483871,9.85,52.22,20.82
2022-02-28,40334.5,16.12,38.71,35.56,40334.5,16.12,35.56,38.71
2022-03-31,40678.9677419355,16.32,28.08,45.19,40678.9677419355,16.32,45.19,28.08
2022-04-30,39212.3333333333,13.46,22.68,70.18,39212.3333333333,13.46,70.18,22.68
2022-05-31,39904.064516129,9.69,23.24,59.58,39904.064516129,9.69,59.58,23.24
2022-06-30,40352.6666666667,14.79,19.64,57.63,40352.6666666667,14.79,57.63,19.64
2022-07-31,40284.4516129032,11.48,20.06,77.77,40284.4516129032,11.48,77.77,20.06
2022-08-31,38311.7741935484,10.16,15.67,66.33,38311.7741935484,10.16,66.33,15.67
2022-09-30,40470.6666666667,9.44,23.09,22.15,40470.6666666667,9.44,22.15,23.09
2022-10-31,39344.064516129,19.51,34.33,10.25,39344.064516129,19.51,10.25,34.33
2022-11-30,37973.9333333333,11.66,17.82,32.18,37973.9333333333,11.66,32.18,17.82
2022-12-31,36725.9677419355,6.7,27.47,24.84,36725.9677419355,6.7,24.84,27.47
2023-01-31,35763.2580645161,15.31,43.38,28.67,35763.2580645161,15.31,28.67,43.38
2023-02-28,39526.8214285714,17.73,15.9,44.99,39526.8214285714,17.73,44.99,15.9
2023-03-31,39482.6129032258,11.3,11.73,76.43,39482.6129032258,11.3,76.43,11.73
2023-04-30,38140.1,11.94,13.36,45.63,38140.1,11.94,45.63,13.36
2023-05-31,39550.3225806452,19.57,25.06,73.01,39550.3225806452,19.57,73.01,25.06
2023-06-30,40962.8333333333,12.28,17.57,67.16,40962.8333333333,12.28,67.16,17.57
2023-07-31,39578.5806451613,8.64,12.29,60.99,39578.5806451613,8.64,60.99,12.29
2023-08-31,38370.0,8.69,19.28,60.33,38370.0,8.69,60.33,19.28
2023-09-30,41602.4333333333,,31.93,37.37,41602.4333333333,11.707935263230222,37.37,31.93
2023-10-31,40590.935483871,5.65,18.17,50.11,40590.935483871,5.65,50.11,18.17
2023-11-30,38785.4666666667,12.9,46.03,14.74,38785.4666666667,12.9,14.74,46.03
2023-12-31,37569.0,5.76,20.3,40.3,37569.0,5.76,40.3,20.3
